english 	braille
We eat fish raw.	⠠⠺⠑⠀⠑⠁⠞⠀⠋⠊⠩⠀⠗⠁⠺⠲
We have a guest.	⠠⠺⠑⠀⠓⠁⠧⠑⠀⠁⠀⠛⠥⠑⠌⠲
We have no time.	⠠⠺⠑⠀⠓⠁⠧⠑⠀⠝⠕⠀⠞⠊⠍⠑⠲
We have nothing.	⠠⠺⠑⠀⠓⠁⠧⠑⠀⠝⠕⠹⠊⠝⠛⠲
We lack nothing.	⠠⠺⠑⠀⠇⠁⠉⠅⠀⠝⠕⠹⠊⠝⠛⠲
We lack nothing.	⠠⠺⠑⠀⠇⠁⠉⠅⠀⠝⠕⠹⠊⠝⠛⠲
We left at 2:30.	⠠⠺⠑⠀⠇⠑⠋⠞⠀⠁⠞⠼⠀⠃⠒⠼⠉⠚⠲
We like to talk.	⠠⠺⠑⠀⠇⠊⠅⠑⠀⠞⠕⠀⠞⠁⠇⠅⠲
We love it here.	⠠⠺⠑⠀⠇⠕⠧⠑⠀⠊⠞⠀⠓⠻⠑⠲
We love it here.	⠠⠺⠑⠀⠇⠕⠧⠑⠀⠊⠞⠀⠓⠻⠑⠲
We love picnics.	⠠⠺⠑⠀⠇⠕⠧⠑⠀⠏⠊⠉⠝⠊⠉⠎⠲
We made him cry.	⠠⠺⠑⠀⠍⠁⠙⠑⠀⠓⠊⠍⠀⠉⠗⠽⠲
We made waffles.	⠠⠺⠑⠀⠍⠁⠙⠑⠀⠺⠁⠋⠋⠇⠑⠎⠲
We made waffles.	⠠⠺⠑⠀⠍⠁⠙⠑⠀⠺⠁⠋⠋⠇⠑⠎⠲
We met a writer.	⠠⠺⠑⠀⠍⠑⠞⠀⠁⠀⠺⠗⠊⠞⠻⠲
We ought to win.	⠠⠺⠑⠀⠳⠣⠞⠀⠞⠕⠀⠺⠊⠝⠲
We pay Tom well.	⠠⠺⠑⠀⠏⠁⠽⠀⠠⠞⠕⠍⠀⠺⠑⠇⠇⠲
We sang for her.	⠠⠺⠑⠀⠎⠁⠝⠛⠀⠿⠀⠓⠻⠲
We shared ideas.	⠠⠺⠑⠀⠩⠜⠫⠀⠊⠙⠑⠁⠎⠲
We should leave.	⠠⠺⠑⠀⠩⠳⠇⠙⠀⠇⠑⠁⠧⠑⠲
We speak French.	⠠⠺⠑⠀⠎⠏⠑⠁⠅⠀⠠⠋⠗⠑⠝⠡⠲
We study French.	⠠⠺⠑⠀⠌⠥⠙⠽⠀⠠⠋⠗⠑⠝⠡⠲
We walked a lot.	⠠⠺⠑⠀⠺⠁⠇⠅⠫⠀⠁⠀⠇⠕⠞⠲
We want it back.	⠠⠺⠑⠀⠺⠁⠝⠞⠀⠊⠞⠀⠃⠁⠉⠅⠲
We want justice.	⠠⠺⠑⠀⠺⠁⠝⠞⠀⠚⠥⠌⠊⠉⠑⠲
We want to help.	⠠⠺⠑⠀⠺⠁⠝⠞⠀⠞⠕⠀⠓⠑⠇⠏⠲
We want to know.	⠠⠺⠑⠀⠺⠁⠝⠞⠀⠞⠕⠀⠅⠝⠪⠲
We want to talk.	⠠⠺⠑⠀⠺⠁⠝⠞⠀⠞⠕⠀⠞⠁⠇⠅⠲
We want to vote.	⠠⠺⠑⠀⠺⠁⠝⠞⠀⠞⠕⠀⠧⠕⠞⠑⠲
We went to Gifu.	⠠⠺⠑⠀⠺⠑⠝⠞⠀⠞⠕⠀⠠⠛⠊⠋⠥⠲
We were friends.	⠠⠺⠑⠀⠺⠻⠑⠀⠋⠗⠊⠑⠝⠙⠎⠲
We were talking.	⠠⠺⠑⠀⠺⠻⠑⠀⠞⠁⠇⠅⠊⠝⠛⠲
We were worried.	⠠⠺⠑⠀⠺⠻⠑⠀⠺⠕⠗⠗⠊⠫⠲
We'll be killed.	⠠⠺⠑⠄⠇⠇⠀⠃⠑⠀⠅⠊⠇⠇⠫⠲
We'll know soon.	⠠⠺⠑⠄⠇⠇⠀⠅⠝⠪⠀⠎⠕⠕⠝⠲
We'll stay here.	⠠⠺⠑⠄⠇⠇⠀⠌⠁⠽⠀⠓⠻⠑⠲
We'll stop them.	⠠⠺⠑⠄⠇⠇⠀⠌⠕⠏⠀⠮⠍⠲
We'll visit you.	⠠⠺⠑⠄⠇⠇⠀⠧⠊⠎⠊⠞⠀⠽⠳⠲
We'll wait here.	⠠⠺⠑⠄⠇⠇⠀⠺⠁⠊⠞⠀⠓⠻⠑⠲
We're Canadians.	⠠⠺⠑⠄⠗⠑⠀⠠⠉⠁⠝⠁⠙⠊⠁⠝⠎⠲
We're all dying.	⠠⠺⠑⠄⠗⠑⠀⠁⠇⠇⠀⠙⠽⠊⠝⠛⠲
We're all dying.	⠠⠺⠑⠄⠗⠑⠀⠁⠇⠇⠀⠙⠽⠊⠝⠛⠲
We're all happy.	⠠⠺⠑⠄⠗⠑⠀⠁⠇⠇⠀⠓⠁⠏⠏⠽⠲
We're all tired.	⠠⠺⠑⠄⠗⠑⠀⠁⠇⠇⠀⠞⠊⠗⠫⠲
We're available.	⠠⠺⠑⠄⠗⠑⠀⠁⠧⠁⠊⠇⠁⠃⠇⠑⠲
We're both fine.	⠠⠺⠑⠄⠗⠑⠀⠃⠕⠹⠀⠋⠊⠝⠑⠲
We're both rich.	⠠⠺⠑⠄⠗⠑⠀⠃⠕⠹⠀⠗⠊⠡⠲
We're confident.	⠠⠺⠑⠄⠗⠑⠀⠉⠕⠝⠋⠊⠙⠑⠝⠞⠲
We're easygoing.	⠠⠺⠑⠄⠗⠑⠀⠑⠁⠎⠽⠛⠕⠊⠝⠛⠲
We're easygoing.	⠠⠺⠑⠄⠗⠑⠀⠑⠁⠎⠽⠛⠕⠊⠝⠛⠲
We're going out.	⠠⠺⠑⠄⠗⠑⠀⠛⠕⠊⠝⠛⠀⠳⠞⠲
We're going out.	⠠⠺⠑⠄⠗⠑⠀⠛⠕⠊⠝⠛⠀⠳⠞⠲
We're impartial.	⠠⠺⠑⠄⠗⠑⠀⠊⠍⠏⠜⠞⠊⠁⠇⠲
We're in Boston.	⠠⠺⠑⠄⠗⠑⠀⠊⠝⠀⠠⠃⠕⠌⠕⠝⠲
We're in charge.	⠠⠺⠑⠄⠗⠑⠀⠊⠝⠀⠡⠜⠛⠑⠲
We're in danger.	⠠⠺⠑⠄⠗⠑⠀⠊⠝⠀⠙⠁⠝⠛⠻⠲
We're intrigued.	⠠⠺⠑⠄⠗⠑⠀⠊⠝⠞⠗⠊⠛⠥⠫⠲
We're listening.	⠠⠺⠑⠄⠗⠑⠀⠇⠊⠌⠑⠝⠊⠝⠛⠲
We're losing it.	⠠⠺⠑⠄⠗⠑⠀⠇⠕⠎⠊⠝⠛⠀⠊⠞⠲
We're newlyweds.	⠠⠺⠑⠄⠗⠑⠀⠝⠑⠺⠇⠽⠺⠫⠎⠲
We're newlyweds.	⠠⠺⠑⠄⠗⠑⠀⠝⠑⠺⠇⠽⠺⠫⠎⠲
We're not crazy.	⠠⠺⠑⠄⠗⠑⠀⠝⠕⠞⠀⠉⠗⠁⠵⠽⠲
We're not crazy.	⠠⠺⠑⠄⠗⠑⠀⠝⠕⠞⠀⠉⠗⠁⠵⠽⠲
We're not going.	⠠⠺⠑⠄⠗⠑⠀⠝⠕⠞⠀⠛⠕⠊⠝⠛⠲
We're not going.	⠠⠺⠑⠄⠗⠑⠀⠝⠕⠞⠀⠛⠕⠊⠝⠛⠲
We're not ready.	⠠⠺⠑⠄⠗⠑⠀⠝⠕⠞⠀⠗⠑⠁⠙⠽⠲
We're objective.	⠠⠺⠑⠄⠗⠑⠀⠕⠃⠚⠑⠉⠞⠊⠧⠑⠲
We're organized.	⠠⠺⠑⠄⠗⠑⠀⠕⠗⠛⠁⠝⠊⠵⠫⠲
We're prisoners.	⠠⠺⠑⠄⠗⠑⠀⠏⠗⠊⠎⠕⠝⠻⠎⠲
We're satisfied.	⠠⠺⠑⠄⠗⠑⠀⠎⠁⠞⠊⠎⠋⠊⠫⠲
We're separated.	⠠⠺⠑⠄⠗⠑⠀⠎⠑⠏⠜⠁⠞⠫⠲
We're too close.	⠠⠺⠑⠄⠗⠑⠀⠞⠕⠕⠀⠉⠇⠕⠎⠑⠲
We're too drunk.	⠠⠺⠑⠄⠗⠑⠀⠞⠕⠕⠀⠙⠗⠥⠝⠅⠲
We're too drunk.	⠠⠺⠑⠄⠗⠑⠀⠞⠕⠕⠀⠙⠗⠥⠝⠅⠲
We've been away.	⠠⠺⠑⠄⠧⠑⠀⠃⠑⠑⠝⠀⠁⠺⠁⠽⠲
We've come home.	⠠⠺⠑⠄⠧⠑⠀⠉⠕⠍⠑⠀⠓⠕⠍⠑⠲
We've done that.	⠠⠺⠑⠄⠧⠑⠀⠙⠕⠝⠑⠀⠹⠁⠞⠲
We've got these.	⠠⠺⠑⠄⠧⠑⠀⠛⠕⠞⠀⠮⠎⠑⠲
We've lost them.	⠠⠺⠑⠄⠧⠑⠀⠇⠕⠌⠀⠮⠍⠲
We've seen them.	⠠⠺⠑⠄⠧⠑⠀⠎⠑⠑⠝⠀⠮⠍⠲
We've seen them.	⠠⠺⠑⠄⠧⠑⠀⠎⠑⠑⠝⠀⠮⠍⠲
Well done, guys.	⠠⠺⠑⠇⠇⠀⠙⠕⠝⠑⠂⠀⠛⠥⠽⠎⠲
Were you crying?	⠠⠺⠻⠑⠀⠽⠳⠀⠉⠗⠽⠊⠝⠛⠦
Were you crying?	⠠⠺⠻⠑⠀⠽⠳⠀⠉⠗⠽⠊⠝⠛⠦
What a disaster!	⠠⠱⠁⠞⠀⠁⠀⠙⠊⠎⠁⠌⠻⠖
What a disaster!	⠠⠱⠁⠞⠀⠁⠀⠙⠊⠎⠁⠌⠻⠖
What a huge dog!	⠠⠱⠁⠞⠀⠁⠀⠓⠥⠛⠑⠀⠙⠕⠛⠖
What a huge dog!	⠠⠱⠁⠞⠀⠁⠀⠓⠥⠛⠑⠀⠙⠕⠛⠖
What a rude man!	⠠⠱⠁⠞⠀⠁⠀⠗⠥⠙⠑⠀⠍⠁⠝⠖
What a surprise!	⠠⠱⠁⠞⠀⠁⠀⠎⠥⠗⠏⠗⠊⠎⠑⠖
What can you do?	⠠⠱⠁⠞⠀⠉⠁⠝⠀⠽⠳⠀⠙⠕⠦
What comes next?	⠠⠱⠁⠞⠀⠉⠕⠍⠑⠎⠀⠝⠑⠭⠞⠦
What comes next?	⠠⠱⠁⠞⠀⠉⠕⠍⠑⠎⠀⠝⠑⠭⠞⠦
What did I miss?	⠠⠱⠁⠞⠀⠙⠊⠙⠀⠠⠊⠀⠍⠊⠎⠎⠦
What did Tom do?	⠠⠱⠁⠞⠀⠙⠊⠙⠀⠠⠞⠕⠍⠀⠙⠕⠦
What did he say?	⠠⠱⠁⠞⠀⠙⠊⠙⠀⠓⠑⠀⠎⠁⠽⠦
What did you do?	⠠⠱⠁⠞⠀⠙⠊⠙⠀⠽⠳⠀⠙⠕⠦
What do they do?	⠠⠱⠁⠞⠀⠙⠕⠀⠮⠽⠀⠙⠕⠦
What is missing?	⠠⠱⠁⠞⠀⠊⠎⠀⠍⠊⠎⠎⠊⠝⠛⠦
What killed Tom?	⠠⠱⠁⠞⠀⠅⠊⠇⠇⠫⠀⠠⠞⠕⠍⠦
What time is it?	⠠⠱⠁⠞⠀⠞⠊⠍⠑⠀⠊⠎⠀⠊⠞⠦
What was stolen?	⠠⠱⠁⠞⠀⠺⠁⠎⠀⠌⠕⠇⠑⠝⠦
What year is it?	⠠⠱⠁⠞⠀⠽⠑⠜⠀⠊⠎⠀⠊⠞⠦
What year is it?	⠠⠱⠁⠞⠀⠽⠑⠜⠀⠊⠎⠀⠊⠞⠦
What's Tom like?	⠠⠱⠁⠞⠄⠎⠀⠠⠞⠕⠍⠀⠇⠊⠅⠑⠦
What's at stake?	⠠⠱⠁⠞⠄⠎⠀⠁⠞⠀⠌⠁⠅⠑⠦
What's going on?	⠠⠱⠁⠞⠄⠎⠀⠛⠕⠊⠝⠛⠀⠕⠝⠦
What's going on?	⠠⠱⠁⠞⠄⠎⠀⠛⠕⠊⠝⠛⠀⠕⠝⠦
What's going on?	⠠⠱⠁⠞⠄⠎⠀⠛⠕⠊⠝⠛⠀⠕⠝⠦
What's happened?	⠠⠱⠁⠞⠄⠎⠀⠓⠁⠏⠏⠑⠝⠫⠦
What's her name?	⠠⠱⠁⠞⠄⠎⠀⠓⠻⠀⠝⠁⠍⠑⠦
What's his name?	⠠⠱⠁⠞⠄⠎⠀⠓⠊⠎⠀⠝⠁⠍⠑⠦
What's in there?	⠠⠱⠁⠞⠄⠎⠀⠊⠝⠀⠮⠗⠑⠦
What's it about?	⠠⠱⠁⠞⠄⠎⠀⠊⠞⠀⠁⠃⠳⠞⠦
What's its name?	⠠⠱⠁⠞⠄⠎⠀⠊⠞⠎⠀⠝⠁⠍⠑⠦
What's my prize?	⠠⠱⠁⠞⠄⠎⠀⠍⠽⠀⠏⠗⠊⠵⠑⠦
What's so funny?	⠠⠱⠁⠞⠄⠎⠀⠎⠕⠀⠋⠥⠝⠝⠽⠦
What's that for?	⠠⠱⠁⠞⠄⠎⠀⠹⠁⠞⠀⠿⠦
What's that for?	⠠⠱⠁⠞⠄⠎⠀⠹⠁⠞⠀⠿⠦
What's that for?	⠠⠱⠁⠞⠄⠎⠀⠹⠁⠞⠀⠿⠦
What's the deal?	⠠⠱⠁⠞⠄⠎⠀⠮⠀⠙⠑⠁⠇⠦
What's the plan?	⠠⠱⠁⠞⠄⠎⠀⠮⠀⠏⠇⠁⠝⠦
What's the rule?	⠠⠱⠁⠞⠄⠎⠀⠮⠀⠗⠥⠇⠑⠦
What's the word?	⠠⠱⠁⠞⠄⠎⠀⠮⠀⠺⠕⠗⠙⠦
What's this for?	⠠⠱⠁⠞⠄⠎⠀⠹⠊⠎⠀⠿⠦
What's this for?	⠠⠱⠁⠞⠄⠎⠀⠹⠊⠎⠀⠿⠦
What's up, dude?	⠠⠱⠁⠞⠄⠎⠀⠥⠏⠂⠀⠙⠥⠙⠑⠦
What's your age?	⠠⠱⠁⠞⠄⠎⠀⠽⠳⠗⠀⠁⠛⠑⠦
What's your job?	⠠⠱⠁⠞⠄⠎⠀⠽⠳⠗⠀⠚⠕⠃⠦
When can we eat?	⠠⠱⠑⠝⠀⠉⠁⠝⠀⠺⠑⠀⠑⠁⠞⠦
When did it end?	⠠⠱⠑⠝⠀⠙⠊⠙⠀⠊⠞⠀⠑⠝⠙⠦
When did it end?	⠠⠱⠑⠝⠀⠙⠊⠙⠀⠊⠞⠀⠑⠝⠙⠦
When did it end?	⠠⠱⠑⠝⠀⠙⠊⠙⠀⠊⠞⠀⠑⠝⠙⠦
When do you run?	⠠⠱⠑⠝⠀⠙⠕⠀⠽⠳⠀⠗⠥⠝⠦
Where can we go?	⠠⠱⠻⠑⠀⠉⠁⠝⠀⠺⠑⠀⠛⠕⠦
Where did he go?	⠠⠱⠻⠑⠀⠙⠊⠙⠀⠓⠑⠀⠛⠕⠦
Where is Boston?	⠠⠱⠻⠑⠀⠊⠎⠀⠠⠃⠕⠌⠕⠝⠦
Where is my car?	⠠⠱⠻⠑⠀⠊⠎⠀⠍⠽⠀⠉⠜⠦
Where is my car?	⠠⠱⠻⠑⠀⠊⠎⠀⠍⠽⠀⠉⠜⠦
Where's Tom now?	⠠⠱⠻⠑⠄⠎⠀⠠⠞⠕⠍⠀⠝⠪⠦
Where's my book?	⠠⠱⠻⠑⠄⠎⠀⠍⠽⠀⠃⠕⠕⠅⠦
Where's my cane?	⠠⠱⠻⠑⠄⠎⠀⠍⠽⠀⠉⠁⠝⠑⠦
Where's my comb?	⠠⠱⠻⠑⠄⠎⠀⠍⠽⠀⠉⠕⠍⠃⠦
Where's our car?	⠠⠱⠻⠑⠄⠎⠀⠳⠗⠀⠉⠜⠦
Where's the car?	⠠⠱⠻⠑⠄⠎⠀⠮⠀⠉⠜⠦
Where's the car?	⠠⠱⠻⠑⠄⠎⠀⠮⠀⠉⠜⠦
Where's the cat?	⠠⠱⠻⠑⠄⠎⠀⠮⠀⠉⠁⠞⠦
Where's the map?	⠠⠱⠻⠑⠄⠎⠀⠮⠀⠍⠁⠏⠦
Where's the zoo?	⠠⠱⠻⠑⠄⠎⠀⠮⠀⠵⠕⠕⠦
Where's the zoo?	⠠⠱⠻⠑⠄⠎⠀⠮⠀⠵⠕⠕⠦
Which are Tom's?	⠠⠱⠊⠡⠀⠜⠑⠀⠠⠞⠕⠍⠄⠎⠦
Which key is it?	⠠⠱⠊⠡⠀⠅⠑⠽⠀⠊⠎⠀⠊⠞⠦
Who betrayed us?	⠠⠱⠕⠀⠃⠑⠞⠗⠁⠽⠫⠀⠥⠎⠦
Who contributed?	⠠⠱⠕⠀⠉⠕⠝⠞⠗⠊⠃⠥⠞⠫⠦
Who contributed?	⠠⠱⠕⠀⠉⠕⠝⠞⠗⠊⠃⠥⠞⠫⠦
Who did you see?	⠠⠱⠕⠀⠙⠊⠙⠀⠽⠳⠀⠎⠑⠑⠦
Who do you love?	⠠⠱⠕⠀⠙⠕⠀⠽⠳⠀⠇⠕⠧⠑⠦
Who has the gun?	⠠⠱⠕⠀⠓⠁⠎⠀⠮⠀⠛⠥⠝⠦
Who is that guy?	⠠⠱⠕⠀⠊⠎⠀⠹⠁⠞⠀⠛⠥⠽⠦
Who is that man?	⠠⠱⠕⠀⠊⠎⠀⠹⠁⠞⠀⠍⠁⠝⠦
Who is that man?	⠠⠱⠕⠀⠊⠎⠀⠹⠁⠞⠀⠍⠁⠝⠦
Who is this boy?	⠠⠱⠕⠀⠊⠎⠀⠹⠊⠎⠀⠃⠕⠽⠦
Who is this boy?	⠠⠱⠕⠀⠊⠎⠀⠹⠊⠎⠀⠃⠕⠽⠦
Who likes beans?	⠠⠱⠕⠀⠇⠊⠅⠑⠎⠀⠃⠑⠁⠝⠎⠦
Who received it?	⠠⠱⠕⠀⠗⠑⠉⠑⠊⠧⠫⠀⠊⠞⠦
Who teaches you?	⠠⠱⠕⠀⠞⠑⠁⠡⠑⠎⠀⠽⠳⠦
Who wants to go?	⠠⠱⠕⠀⠺⠁⠝⠞⠎⠀⠞⠕⠀⠛⠕⠦
Who's in charge?	⠠⠱⠕⠄⠎⠀⠊⠝⠀⠡⠜⠛⠑⠦
Who's that girl?	⠠⠱⠕⠄⠎⠀⠹⠁⠞⠀⠛⠊⠗⠇⠦
Why am I crying?	⠠⠱⠽⠀⠁⠍⠀⠠⠊⠀⠉⠗⠽⠊⠝⠛⠦
Why are you mad?	⠠⠱⠽⠀⠜⠑⠀⠽⠳⠀⠍⠁⠙⠦
Why are you mad?	⠠⠱⠽⠀⠜⠑⠀⠽⠳⠀⠍⠁⠙⠦
Why are you mad?	⠠⠱⠽⠀⠜⠑⠀⠽⠳⠀⠍⠁⠙⠦
Why are you mad?	⠠⠱⠽⠀⠜⠑⠀⠽⠳⠀⠍⠁⠙⠦
Why are you sad?	⠠⠱⠽⠀⠜⠑⠀⠽⠳⠀⠎⠁⠙⠦
Why are you sad?	⠠⠱⠽⠀⠜⠑⠀⠽⠳⠀⠎⠁⠙⠦
Why are you sad?	⠠⠱⠽⠀⠜⠑⠀⠽⠳⠀⠎⠁⠙⠦
Why did you ask?	⠠⠱⠽⠀⠙⠊⠙⠀⠽⠳⠀⠁⠎⠅⠦
Why did you cry?	⠠⠱⠽⠀⠙⠊⠙⠀⠽⠳⠀⠉⠗⠽⠦
Why did you cry?	⠠⠱⠽⠀⠙⠊⠙⠀⠽⠳⠀⠉⠗⠽⠦
Why did you lie?	⠠⠱⠽⠀⠙⠊⠙⠀⠽⠳⠀⠇⠊⠑⠦
Why did you run?	⠠⠱⠽⠀⠙⠊⠙⠀⠽⠳⠀⠗⠥⠝⠦
Why do that now?	⠠⠱⠽⠀⠙⠕⠀⠹⠁⠞⠀⠝⠪⠦
Why do we dream?	⠠⠱⠽⠀⠙⠕⠀⠺⠑⠀⠙⠗⠑⠁⠍⠦
Why is Tom home?	⠠⠱⠽⠀⠊⠎⠀⠠⠞⠕⠍⠀⠓⠕⠍⠑⠦
Why is he angry?	⠠⠱⠽⠀⠊⠎⠀⠓⠑⠀⠁⠝⠛⠗⠽⠦
Why should I go?	⠠⠱⠽⠀⠩⠳⠇⠙⠀⠠⠊⠀⠛⠕⠦
Women love that.	⠠⠺⠕⠍⠑⠝⠀⠇⠕⠧⠑⠀⠹⠁⠞⠲
Would you do it?	⠠⠺⠳⠇⠙⠀⠽⠳⠀⠙⠕⠀⠊⠞⠦
Write an answer.	⠠⠺⠗⠊⠞⠑⠀⠁⠝⠀⠁⠝⠎⠺⠻⠲
Write an answer.	⠠⠺⠗⠊⠞⠑⠀⠁⠝⠀⠁⠝⠎⠺⠻⠲
Write an answer.	⠠⠺⠗⠊⠞⠑⠀⠁⠝⠀⠁⠝⠎⠺⠻⠲
Write an answer.	⠠⠺⠗⠊⠞⠑⠀⠁⠝⠀⠁⠝⠎⠺⠻⠲
Write something.	⠠⠺⠗⠊⠞⠑⠀⠎⠕⠍⠑⠹⠊⠝⠛⠲
Write that down.	⠠⠺⠗⠊⠞⠑⠀⠹⠁⠞⠀⠙⠪⠝⠲
Write that down.	⠠⠺⠗⠊⠞⠑⠀⠹⠁⠞⠀⠙⠪⠝⠲
Write that down.	⠠⠺⠗⠊⠞⠑⠀⠹⠁⠞⠀⠙⠪⠝⠲
Write that down.	⠠⠺⠗⠊⠞⠑⠀⠹⠁⠞⠀⠙⠪⠝⠲
Write this down.	⠠⠺⠗⠊⠞⠑⠀⠹⠊⠎⠀⠙⠪⠝⠲
Write this down.	⠠⠺⠗⠊⠞⠑⠀⠹⠊⠎⠀⠙⠪⠝⠲
Write this down.	⠠⠺⠗⠊⠞⠑⠀⠹⠊⠎⠀⠙⠪⠝⠲
Write this down.	⠠⠺⠗⠊⠞⠑⠀⠹⠊⠎⠀⠙⠪⠝⠲
Write your name.	⠠⠺⠗⠊⠞⠑⠀⠽⠳⠗⠀⠝⠁⠍⠑⠲
You always sing.	⠠⠽⠳⠀⠁⠇⠺⠁⠽⠎⠀⠎⠊⠝⠛⠲
You are a woman.	⠠⠽⠳⠀⠜⠑⠀⠁⠀⠺⠕⠍⠁⠝⠲
You are my hero.	⠠⠽⠳⠀⠜⠑⠀⠍⠽⠀⠓⠻⠕⠲
You are naughty.	⠠⠽⠳⠀⠜⠑⠀⠝⠁⠥⠣⠞⠽⠲
You are tallest.	⠠⠽⠳⠀⠜⠑⠀⠞⠁⠇⠇⠑⠌⠲
You are tallest.	⠠⠽⠳⠀⠜⠑⠀⠞⠁⠇⠇⠑⠌⠲
You are tallest.	⠠⠽⠳⠀⠜⠑⠀⠞⠁⠇⠇⠑⠌⠲
You are tallest.	⠠⠽⠳⠀⠜⠑⠀⠞⠁⠇⠇⠑⠌⠲
You are the one.	⠠⠽⠳⠀⠜⠑⠀⠮⠀⠕⠝⠑⠲
You betrayed me.	⠠⠽⠳⠀⠃⠑⠞⠗⠁⠽⠫⠀⠍⠑⠲
You betrayed us.	⠠⠽⠳⠀⠃⠑⠞⠗⠁⠽⠫⠀⠥⠎⠲
You betrayed us.	⠠⠽⠳⠀⠃⠑⠞⠗⠁⠽⠫⠀⠥⠎⠲
You better hide.	⠠⠽⠳⠀⠃⠑⠞⠞⠻⠀⠓⠊⠙⠑⠲
You can come in.	⠠⠽⠳⠀⠉⠁⠝⠀⠉⠕⠍⠑⠀⠊⠝⠲
You can go home.	⠠⠽⠳⠀⠉⠁⠝⠀⠛⠕⠀⠓⠕⠍⠑⠲
You can make it.	⠠⠽⠳⠀⠉⠁⠝⠀⠍⠁⠅⠑⠀⠊⠞⠲
You can make it.	⠠⠽⠳⠀⠉⠁⠝⠀⠍⠁⠅⠑⠀⠊⠞⠲
You can tell us.	⠠⠽⠳⠀⠉⠁⠝⠀⠞⠑⠇⠇⠀⠥⠎⠲
You deserved it.	⠠⠽⠳⠀⠙⠑⠎⠻⠧⠫⠀⠊⠞⠲
You got the job.	⠠⠽⠳⠀⠛⠕⠞⠀⠮⠀⠚⠕⠃⠲
You have cancer.	⠠⠽⠳⠀⠓⠁⠧⠑⠀⠉⠁⠝⠉⠻⠲
You have cancer.	⠠⠽⠳⠀⠓⠁⠧⠑⠀⠉⠁⠝⠉⠻⠲
You have cancer.	⠠⠽⠳⠀⠓⠁⠧⠑⠀⠉⠁⠝⠉⠻⠲
You know people.	⠠⠽⠳⠀⠅⠝⠪⠀⠏⠑⠕⠏⠇⠑⠲
You know people.	⠠⠽⠳⠀⠅⠝⠪⠀⠏⠑⠕⠏⠇⠑⠲
You know people.	⠠⠽⠳⠀⠅⠝⠪⠀⠏⠑⠕⠏⠇⠑⠲
You like apples.	⠠⠽⠳⠀⠇⠊⠅⠑⠀⠁⠏⠏⠇⠑⠎⠲
You look gloomy.	⠠⠽⠳⠀⠇⠕⠕⠅⠀⠛⠇⠕⠕⠍⠽⠲
You look sleepy.	⠠⠽⠳⠀⠇⠕⠕⠅⠀⠎⠇⠑⠑⠏⠽⠲
You look strong.	⠠⠽⠳⠀⠇⠕⠕⠅⠀⠌⠗⠕⠝⠛⠲
You look stupid.	⠠⠽⠳⠀⠇⠕⠕⠅⠀⠌⠥⠏⠊⠙⠲
You look stupid.	⠠⠽⠳⠀⠇⠕⠕⠅⠀⠌⠥⠏⠊⠙⠲
You look stupid.	⠠⠽⠳⠀⠇⠕⠕⠅⠀⠌⠥⠏⠊⠙⠲
You look unsure.	⠠⠽⠳⠀⠇⠕⠕⠅⠀⠥⠝⠎⠥⠗⠑⠲
You lucky devil!	⠠⠽⠳⠀⠇⠥⠉⠅⠽⠀⠙⠑⠧⠊⠇⠖
You made my day.	⠠⠽⠳⠀⠍⠁⠙⠑⠀⠍⠽⠀⠙⠁⠽⠲
You may go home.	⠠⠽⠳⠀⠍⠁⠽⠀⠛⠕⠀⠓⠕⠍⠑⠲
You mustn't lie.	⠠⠽⠳⠀⠍⠥⠌⠝⠄⠞⠀⠇⠊⠑⠲
You should rest.	⠠⠽⠳⠀⠩⠳⠇⠙⠀⠗⠑⠌⠲
You should stay.	⠠⠽⠳⠀⠩⠳⠇⠙⠀⠌⠁⠽⠲
You were asleep.	⠠⠽⠳⠀⠺⠻⠑⠀⠁⠎⠇⠑⠑⠏⠲
You were asleep.	⠠⠽⠳⠀⠺⠻⠑⠀⠁⠎⠇⠑⠑⠏⠲
You were misled.	⠠⠽⠳⠀⠺⠻⠑⠀⠍⠊⠎⠇⠫⠲
You'd better go.	⠠⠽⠳⠄⠙⠀⠃⠑⠞⠞⠻⠀⠛⠕⠲
You'll catch up.	⠠⠽⠳⠄⠇⠇⠀⠉⠁⠞⠡⠀⠥⠏⠲
You'll find out.	⠠⠽⠳⠄⠇⠇⠀⠋⠊⠝⠙⠀⠳⠞⠲
You'll get lost.	⠠⠽⠳⠄⠇⠇⠀⠛⠑⠞⠀⠇⠕⠌⠲
You'll get lost.	⠠⠽⠳⠄⠇⠇⠀⠛⠑⠞⠀⠇⠕⠌⠲
You'll thank me.	⠠⠽⠳⠄⠇⠇⠀⠹⠁⠝⠅⠀⠍⠑⠲
You'll thank me.	⠠⠽⠳⠄⠇⠇⠀⠹⠁⠝⠅⠀⠍⠑⠲
You're a friend.	⠠⠽⠳⠄⠗⠑⠀⠁⠀⠋⠗⠊⠑⠝⠙⠲
You're a genius.	⠠⠽⠳⠄⠗⠑⠀⠁⠀⠛⠑⠝⠊⠥⠎⠲
You're a genius.	⠠⠽⠳⠄⠗⠑⠀⠁⠀⠛⠑⠝⠊⠥⠎⠲
You're a nobody.	⠠⠽⠳⠄⠗⠑⠀⠁⠀⠝⠕⠃⠕⠙⠽⠲
You're a person.	⠠⠽⠳⠄⠗⠑⠀⠁⠀⠏⠻⠎⠕⠝⠲
